,Review_title,Review_body,Review_rating,Review_date
0,USE AND THROW,"  THE PRODUCT LOOKS GOOD, BUT ITS A CHINESE USE AND THROW PRODUCT, THE NAME MAY BE IMPRESSIVE ""BRAYDEN"" but I use it for once for my singapore trip, for my baby food after returning I kept it cleaned and safe, after 3 months when I opened again it never turned on.I called customer care they say it can not be repaired.So its use and throw.I strongly dont recommend, if its to be used once you can take cheaper 400-500 bucks battery blender.This product not worth.",1.0,2020-12-06
1,Waste of money,  Worst product. It worked for one day later it stoped working,1.0,2020-12-03
2,Not working,  Not working after 1 month & no proper support from vendor,1.0,2020-12-03
3,उसको कैंसिल करके तुरंत तत्काल मेरा पैसा एक मेरे अकाउंट में डाल दिया जाए धन्यवाद,  जो आइटम रिप्लेसमेंट किया गया था अभी तक उसका डिलीवर्ड नहीं किया गया है उसको तुरंत डिलीवर्ड किया जाए नहीं तो उसको कैंसिल करके हमारा पैसा वापस किया जाए,1.0,2020-12-01
4,Weak,  Not powerful enough. Built quality is pretty weak too.,1.0,2020-11-28
5,Worst product,  Not even worek for a month.. Worst worst worst,1.0,2020-11-28
6,It’s leek from fear it’s titled,  But it’s leeks,0.0,2020-11-26
7,Okay product!! Can be improved!!,  Traveling in flight no allowed!!,3.0,2020-11-26
8,Not useful,  Bad,1.0,2020-11-22
9,It's worth,  It's easy and nice,0.0,2020-11-21
10,Bad,  Jar leaking,3.0,2020-11-20
11,Useless product,  Stopped working after 10 days. Not changing too. Useless product and waste of money.,1.0,2020-11-19
12,Great outlooks ..pathetic battry ..,  Battery after fully charge works only  for1 spin,1.0,2020-11-17
13,Can i buy mixer Jar,  Nice product,0.0,2020-11-16
14,Not working after 2 months,  Product is not working after 2 months.  I charged it fully when I supposed to use it's not getting on showing always red signal.,1.0,2020-11-15
15,good,  but it is glass matrial very risky to use,3.0,2020-11-13
16,Worst product,  The product stopped working after one week,1.0,2020-11-13
17,Not working at all,  2 stars for the design but I received the box already opened and the blender wasnt working at all ...just lights but not workingWhy send a detective product you people ...,2.0,2020-11-13
18,Not recommended,  Not recommended,2.0,2020-11-11
19,Good,  Nice product,0.0,2020-11-08
20,Insufficient for family use,  Useful for Single person quantity,0.0,2020-11-07
21,Waste of money. Pls don’t buy.,  Within one week it doesn’t work. Pls dont buy.,1.0,2020-11-05
22,Best in quality within budget,  Value for money,0.0,2020-11-04
23,Not that good,  Usefull only to make cold coffee,1.0,2020-10-31
24,Bad product ....dont buy,"  Dont purchase this product.  After one week, not working. They are not responding to our request . Pathetic item.. ok",1.0,2020-10-30
25,Good,  Good,4.0,2020-10-30
26,Do not buy.,  Useless product. Motor cannot deliver power of 20watts and get tripped every time.,1.0,2020-10-25
27,Unsealed product from the seller,"  The product did not come in a sealed pack, really disappointing, did not expect this from the seller, not returning the product as its in working condition, however I'll check for a week and decide",3.0,2020-10-24
28,"functioning , blade sharpness","  product functioning seems difficult and blades found blend , provide sharp one",2.0,2020-10-24
29,Value for money product,  Nice product 👌,4.0,2020-10-24
30,ITEM DEFECTIVE,"  Item not working , requested for replacement",1.0,2020-10-24
31,Really the Best juicer ever,"  Your browser does not support HTML5 video.


   Hello All, i received this item today its really Amazing very easy to use easy to clean, make sure to use small soft slices of fruits so it can grind easy.Thanks Amazon",0.0,2020-10-23
32,Worst worst worst,  Worst product ever.. After using for 10 days it stopped working.,1.0,2020-10-22
33,Good product,  Excellent product. Easy to clean and can prepare juices on the go. Nice battery life.,4.0,2020-10-18
34,Best product,"  Best product, recommend to buy",4.0,2020-10-16
35,gd,  gd..bt not best,0.0,2020-10-16
36,Jar get damaged,  Can I get an extra jar.my jar get broken,4.0,2020-10-13
37,Bad product,  Leakage after 2 or 3 use,1.0,2020-10-12
38,Awesome product,  I wanna buy extra jar please tell me how??,0.0,2020-10-11
39,Poor product. Not reliable for long term use.,  The product design is good.But this product will work only three weeks.After that the motor stopped working.. Better not to buy this product if you are looking for a durable juicer.,1.0,2020-10-09
40,Not work for even week,  After buying it just for somedays and now its struggling to start every time,1.0,2020-10-09
41,doesn't work after a month,  money wasted. doesn't work just after 15 times of usage,1.0,2020-10-06
42,Great product,"  I like this product for great grinding capability, because it have6 Blade,4000 mah Battery,  But the Jar is made of glass which is not good for Travling.overall I like the product.",4.0,2020-10-05
43,Great product,"  It was great for outdoor use also ,easy to make shakes i loved it",0.0,2020-09-30
44,Hard to clean,  Becomes dirty after some days of usage,1.0,2020-09-30
45,Worst product,  The product has stopped working after 5 uses. Only light blinks but motor doesn’t work. There is no customer support also.I would not recommend this product.,1.0,2020-09-29
46,great,  v nice product... cleaning the motor inside the edge is little difficult... rest of all superb,4.0,2020-09-29
47,Product is not working,  Product is not working,1.0,2020-09-28
48,Worst blenders,  Liquid spills  over during  blending,1.0,2020-09-27
49,Not useful,  Most of time leakage. Difficult to close properly,1.0,2020-09-24
50,Not portable,  it was Leaking and glass was soo thin..... thus its not portable material ....use it carefully,2.0,2020-09-23
51,Damaged and used product received,  Damaged cap and the product is not even with its original box. And also receive a computer mouse and still wondering what is the use of mouse with the blender.,1.0,2020-09-22
52,Replacement,  Glass has broken,4.0,2020-09-22
53,Not good,  I wnt chnge my orderBcs its. Glass are borosil not safe for.travel.,1.0,2020-09-21
54,Not satisfied for after sale service,  Good productOnly I am not satisfied for after sale service I require glass bottle but it's not in stock long time,4.0,2020-09-17
